"diagYm";"sidoName";"usedMedicineQty";"population"
"201004";"통영시";8078.0;126382.0
"201004";"파주시";6138.0;319439.0
"201004";"평택시";11353.0;375434.0
"201004";"포천시";5341.0;133349.0
"201004";"포항시";54184.0;499943.0
"201004";"하남시";1551.0;135833.0
"201004";"화성시";6102.0;470027.0
"201005";"강릉시";44351.0;214003.0
"201005";"거제시";10334.0;222600.0
"201005";"경산시";8758.0;257604.0
"201005";"경주시";17064.0;249401.0
"201005";"계룡시";56.0;39788.0
"201005";"고양시";93221.0;885158.0
"201005";"공주시";5447.0;113865.0
"201005";"과천시";42.0;65292.0
"201005";"광명시";9188.0;322775.0
"201005";"광양시";1279.0;135324.0
"201005";"광주광역시";147329.0;1447291.0
"201005";"광주시";3474.0;221569.0
"201005";"구리시";16266.0;182075.0
"201005";"구미시";32279.0;393430.0
"201005";"군산시";7538.0;255605.0
"201005";"군포시";7511.0;270830.0
"201005";"김제시";1991.0;81735.0
"201005";"김천시";4391.0;125191.0
"201005";"김포시";7746.0;214050.0
"201005";"김해시";20751.0;478109.0
"201005";"나주시";5293.0;76966.0
"201005";"남양주시";9445.0;520270.0
"201005";"남원시";4396.0;77436.0
"201005";"논산시";5244.0;115614.0
"201005";"대구광역시";271650.0;2395518.0
"201005";"대전광역시";128140.0;1469599.0
"201005";"동두천시";2158.0;89226.0
"201005";"동해시";3959.0;88006.0
"201005";"목포시";56976.0;245720.0
"201005";"문경시";3917.0;67749.0
"201005";"밀양시";3652.0;97286.0
"201005";"보령시";4744.0;95781.0
"201005";"부산광역시";358800.0;3346609.0
"201005";"사천시";3430.0;104709.0
"201005";"삼척시";5747.0;65812.0
"201005";"상주시";6993.0;96360.0
"201005";"서귀포시";1965.0;127974.0
"201005";"서산시";6443.0;152892.0
"201005";"서울특별시";1225130.0;9512332.0
"201005";"성남시";93282.0;924284.0
"201005";"속초시";4450.0;79372.0
"201005";"수원시";105417.0;1040388.0
"201005";"순천시";25115.0;254214.0
"201005";"시흥시";16366.0;388402.0
"201005";"아산시";7363.0;269897.0
"201005";"안동시";24739.0;163300.0
"201005";"안산시";56129.0;690047.0
"201005";"안성시";5604.0;174065.0
"201005";"안양시";47206.0;588878.0
"201005";"양산시";31346.0;246583.0
"201005";"양주시";1084.0;180668.0
"201005";"여수시";16157.0;265010.0
"201005";"영주시";2468.0;106837.0
"201005";"영천시";8251.0;92739.0
"201005";"오산시";5493.0;179281.0
"201005";"용인시";11767.0;839237.0
"201005";"울산광역시";85352.0;1055783.0
"201005";"원주시";43461.0;305068.0
"201005";"의왕시";960.0;141614.0
"201005";"의정부시";39155.0;409974.0
"201005";"이천시";3746.0;190167.0
"201005";"익산시";30878.0;290208.0
"201005";"인천광역시";193713.0;2595806.0
"201005";"전주시";85980.0;637613.0
"201005";"정읍시";6406.0;108003.0
"201005";"제주시";39654.0;393694.0
"201005";"제천시";1885.0;131977.0
"201005";"진주시";54508.0;330411.0
"201005";"천안시";68762.0;559514.0
"201005";"청주시";53729.0;787105.0
"201005";"춘천시";27163.0;270354.0
"201005";"충주시";14967.0;198332.0
"201005";"태백시";3116.0;50807.0
"201005";"통영시";8644.0;126382.0
"201005";"파주시";6292.0;319439.0
"201005";"평택시";14161.0;375434.0
"201005";"포천시";4627.0;133349.0
"201005";"포항시";46799.0;499943.0
"201005";"하남시";2306.0;135833.0
"201005";"화성시";6385.0;470027.0
"201006";"강릉시";47783.0;214003.0
"201006";"거제시";10571.0;222600.0
"201006";"경산시";6355.0;257604.0
"201006";"경주시";17253.0;249401.0
"201006";"계룡시";633.0;39788.0
"201006";"고양시";101709.0;885158.0
"201006";"공주시";5593.0;113865.0
"201006";"광명시";11546.0;322775.0
"201006";"광양시";1908.0;135324.0
"201006";"광주광역시";146439.0;1447291.0
"201006";"광주시";3227.0;221569.0
"201006";"구리시";15225.0;182075.0
"201006";"구미시";34414.0;393430.0
"201006";"군산시";8741.0;255605.0
"201006";"군포시";7980.0;270830.0
"201006";"김제시";2457.0;81735.0
"201006";"김천시";3761.0;125191.0
"201006";"김포시";6486.0;214050.0
"201006";"김해시";19972.0;478109.0
"201006";"나주시";4694.0;76966.0
"201006";"남양주시";12417.0;520270.0
"201006";"남원시";7792.0;77436.0
"201006";"논산시";5906.0;115614.0
"201006";"대구광역시";272389.0;2395518.0
"201006";"대전광역시";129269.0;1469599.0
"201006";"동두천시";1597.0;89226.0
"201006";"동해시";4911.0;88006.0
"201006";"목포시";61217.0;245720.0
"201006";"문경시";4905.0;67749.0
"201006";"밀양시";3956.0;97286.0
"201006";"보령시";4417.0;95781.0
"201006";"부산광역시";357220.0;3346609.0
"201006";"사천시";3947.0;104709.0
"201006";"삼척시";5677.0;65812.0
"201006";"상주시";7458.0;96360.0
"201006";"서귀포시";1476.0;127974.0
"201006";"서산시";7366.0;152892.0
"201006";"서울특별시";1202906.0;9512332.0
"201006";"성남시";101863.0;924284.0
"201006";"속초시";4386.0;79372.0
"201006";"수원시";104105.0;1040388.0
"201006";"순천시";27980.0;254214.0
"201006";"시흥시";17452.0;388402.0
"201006";"아산시";8288.0;269897.0
"201006";"안동시";20734.0;163300.0
"201006";"안산시";56449.0;690047.0
"201006";"안성시";7882.0;174065.0
"201006";"안양시";50464.0;588878.0
"201006";"양산시";32616.0;246583.0
"201006";"양주시";1923.0;180668.0
"201006";"여수시";14752.0;265010.0
"201006";"영주시";2576.0;106837.0
"201006";"영천시";7432.0;92739.0
"201006";"오산시";6013.0;179281.0
"201006";"용인시";11883.0;839237.0
"201006";"울산광역시";84766.0;1055783.0
"201006";"원주시";44300.0;305068.0
"201006";"의왕시";1186.0;141614.0
"201006";"의정부시";39947.0;409974.0
"201006";"이천시";4759.0;190167.0
"201006";"익산시";29049.0;290208.0
"201006";"인천광역시";195320.0;2595806.0
"201006";"전주시";94251.0;637613.0
