"","diagYm","sidoName","usedMedicineQty","population"
"248",201004,"구리시",17889,182075
"249",201004,"구미시",35349,393430
"250",201004,"군산시",8341,255605
"251",201004,"군포시",8738,270830
"252",201004,"김제시",1815,81735
"253",201004,"김천시",3391,125191
"254",201004,"김포시",7124,214050
"255",201004,"김해시",16423,478109
"256",201004,"나주시",5500,76966
"257",201004,"남양주시",8775,520270
"258",201004,"남원시",5959,77436
"259",201004,"논산시",5808,115614
"260",201004,"대구광역시",259878,2395518
"261",201004,"대전광역시",129136,1469599
"262",201004,"동두천시",2710,89226
"263",201004,"동해시",4831,88006
"264",201004,"목포시",61484,245720
"265",201004,"문경시",5288,67749
"266",201004,"밀양시",2631,97286
"267",201004,"보령시",5290,95781
"268",201004,"부산광역시",361710,3346609
"269",201004,"사천시",3589,104709
"270",201004,"삼척시",3881,65812
"271",201004,"상주시",7119,96360
"272",201004,"서귀포시",2830,127974
"273",201004,"서산시",6299,152892
"274",201004,"서울특별시",1226147,9512332
"275",201004,"성남시",103184,924284
"276",201004,"속초시",4460,79372
"277",201004,"수원시",115456,1040388
"278",201004,"순천시",25604,254214
"279",201004,"시흥시",17901,388402
"280",201004,"아산시",5607,269897
"281",201004,"안동시",21586,163300
"282",201004,"안산시",60694,690047
"283",201004,"안성시",6886,174065
"284",201004,"안양시",45768,588878
"285",201004,"양산시",28459,246583
"286",201004,"양주시",1492,180668
"287",201004,"여수시",15569,265010
"288",201004,"영주시",2875,106837
"289",201004,"영천시",7372,92739
"290",201004,"오산시",7390,179281
"291",201004,"용인시",10713,839237
"292",201004,"울산광역시",80695,1055783
"293",201004,"원주시",40615,305068
"294",201004,"의왕시",891,141614
"295",201004,"의정부시",40730,409974
"296",201004,"이천시",4298,190167
"297",201004,"익산시",30755,290208
"298",201004,"인천광역시",195014,2595806
"299",201004,"전주시",94838,637613
"300",201004,"정읍시",5976,108003
"301",201004,"제주시",38728,393694
"302",201004,"제천시",2113,131977
"303",201004,"진주시",51439,330411
"304",201004,"천안시",76957,559514
"305",201004,"청주시",51690,787105
"306",201004,"춘천시",28716,270354
"307",201004,"충주시",17200,198332
"308",201004,"태백시",2252,50807
"309",201004,"통영시",8078,126382
"310",201004,"파주시",6138,319439
"311",201004,"평택시",11353,375434
"312",201004,"포천시",5341,133349
"313",201004,"포항시",54184,499943
"314",201004,"하남시",1551,135833
"315",201004,"화성시",6102,470027
"316",201005,"강릉시",44351,214003
"317",201005,"거제시",10334,222600
"318",201005,"경산시",8758,257604
"319",201005,"경주시",17064,249401
"320",201005,"계룡시",56,39788
"321",201005,"고양시",93221,885158
"322",201005,"공주시",5447,113865
"323",201005,"과천시",42,65292
"324",201005,"광명시",9188,322775
"325",201005,"광양시",1279,135324
"326",201005,"광주광역시",147329,1447291
"327",201005,"광주시",3474,221569
"328",201005,"구리시",16266,182075
"329",201005,"구미시",32279,393430
"330",201005,"군산시",7538,255605
"331",201005,"군포시",7511,270830
"332",201005,"김제시",1991,81735
"333",201005,"김천시",4391,125191
"334",201005,"김포시",7746,214050
"335",201005,"김해시",20751,478109
"336",201005,"나주시",5293,76966
"337",201005,"남양주시",9445,520270
"338",201005,"남원시",4396,77436
"339",201005,"논산시",5244,115614
"340",201005,"대구광역시",271650,2395518
"341",201005,"대전광역시",128140,1469599
"342",201005,"동두천시",2158,89226
"343",201005,"동해시",3959,88006
"344",201005,"목포시",56976,245720
"345",201005,"문경시",3917,67749
"346",201005,"밀양시",3652,97286
"347",201005,"보령시",4744,95781
"348",201005,"부산광역시",358800,3346609
"349",201005,"사천시",3430,104709
"350",201005,"삼척시",5747,65812
"351",201005,"상주시",6993,96360
"352",201005,"서귀포시",1965,127974
"353",201005,"서산시",6443,152892
"354",201005,"서울특별시",1225130,9512332
"355",201005,"성남시",93282,924284
"356",201005,"속초시",4450,79372
"357",201005,"수원시",105417,1040388
"358",201005,"순천시",25115,254214
"359",201005,"시흥시",16366,388402
"360",201005,"아산시",7363,269897
"361",201005,"안동시",24739,163300
"362",201005,"안산시",56129,690047
"363",201005,"안성시",5604,174065
"364",201005,"안양시",47206,588878
"365",201005,"양산시",31346,246583
"366",201005,"양주시",1084,180668
"367",201005,"여수시",16157,265010
"368",201005,"영주시",2468,106837
"369",201005,"영천시",8251,92739
"370",201005,"오산시",5493,179281
"371",201005,"용인시",11767,839237
"372",201005,"울산광역시",85352,1055783
"373",201005,"원주시",43461,305068
"374",201005,"의왕시",960,141614
"375",201005,"의정부시",39155,409974
"376",201005,"이천시",3746,190167
"377",201005,"익산시",30878,290208
"378",201005,"인천광역시",193713,2595806
"379",201005,"전주시",85980,637613
"380",201005,"정읍시",6406,108003
"381",201005,"제주시",39654,393694
"382",201005,"제천시",1885,131977
"383",201005,"진주시",54508,330411
"384",201005,"천안시",68762,559514
"385",201005,"청주시",53729,787105
"386",201005,"춘천시",27163,270354
"387",201005,"충주시",14967,198332
"388",201005,"태백시",3116,50807
"389",201005,"통영시",8644,126382
"390",201005,"파주시",6292,319439
"391",201005,"평택시",14161,375434
"392",201005,"포천시",4627,133349
"393",201005,"포항시",46799,499943
"394",201005,"하남시",2306,135833
"395",201005,"화성시",6385,470027
"396",201006,"강릉시",47783,214003
"397",201006,"거제시",10571,222600
"398",201006,"경산시",6355,257604
"399",201006,"경주시",17253,249401
"400",201006,"계룡시",633,39788
"401",201006,"고양시",101709,885158
"402",201006,"공주시",5593,113865
"403",201006,"광명시",11546,322775
"404",201006,"광양시",1908,135324
"405",201006,"광주광역시",146439,1447291
"406",201006,"광주시",3227,221569
"407",201006,"구리시",15225,182075
"408",201006,"구미시",34414,393430
"409",201006,"군산시",8741,255605
"410",201006,"군포시",7980,270830
"411",201006,"김제시",2457,81735
"412",201006,"김천시",3761,125191
"413",201006,"김포시",6486,214050
"414",201006,"김해시",19972,478109
"415",201006,"나주시",4694,76966
"416",201006,"남양주시",12417,520270
"417",201006,"남원시",7792,77436
"418",201006,"논산시",5906,115614
"419",201006,"대구광역시",272389,2395518
"420",201006,"대전광역시",129269,1469599
"421",201006,"동두천시",1597,89226
"422",201006,"동해시",4911,88006
"423",201006,"목포시",61217,245720
"424",201006,"문경시",4905,67749
"425",201006,"밀양시",3956,97286
"426",201006,"보령시",4417,95781
"427",201006,"부산광역시",357220,3346609
"428",201006,"사천시",3947,104709
"429",201006,"삼척시",5677,65812
"430",201006,"상주시",7458,96360
"431",201006,"서귀포시",1476,127974
"432",201006,"서산시",7366,152892
"433",201006,"서울특별시",1202906,9512332
"434",201006,"성남시",101863,924284
"435",201006,"속초시",4386,79372
"436",201006,"수원시",104105,1040388
"437",201006,"순천시",27980,254214
"438",201006,"시흥시",17452,388402
"439",201006,"아산시",8288,269897
"440",201006,"안동시",20734,163300
"441",201006,"안산시",56449,690047
"442",201006,"안성시",7882,174065
"443",201006,"안양시",50464,588878
"444",201006,"양산시",32616,246583
"445",201006,"양주시",1923,180668
"446",201006,"여수시",14752,265010
"447",201006,"영주시",2576,106837
"448",201006,"영천시",7432,92739
"449",201006,"오산시",6013,179281
"450",201006,"용인시",11883,839237
"451",201006,"울산광역시",84766,1055783
"452",201006,"원주시",44300,305068
"453",201006,"의왕시",1186,141614
"454",201006,"의정부시",39947,409974
"455",201006,"이천시",4759,190167
"456",201006,"익산시",29049,290208
"457",201006,"인천광역시",195320,2595806
"458",201006,"전주시",94251,637613
"459",201006,"정읍시",6309,108003
"460",201006,"제주시",46461,393694
"461",201006,"제천시",1252,131977
"462",201006,"진주시",51576,330411
"463",201006,"천안시",71546,559514
"464",201006,"청주시",58873,787105
"465",201006,"춘천시",31596,270354
"466",201006,"충주시",15667,198332
"467",201006,"태백시",2180,50807
"468",201006,"통영시",8821,126382
"469",201006,"파주시",6793,319439
"470",201006,"평택시",12652,375434
"471",201006,"포천시",4189,133349
"472",201006,"포항시",49517,499943
"473",201006,"하남시",1616,135833
"474",201006,"화성시",3972,470027
"475",201007,"강릉시",51737,214003
"476",201007,"거제시",9457,222600
"477",201007,"경산시",8232,257604
"478",201007,"경주시",20129,249401
"479",201007,"계룡시",105,39788
"480",201007,"고양시",97547,885158
"481",201007,"공주시",4792,113865
"482",201007,"광명시",12826,322775
"483",201007,"광양시",2457,135324
"484",201007,"광주광역시",158095,1447291
"485",201007,"광주시",4278,221569
"486",201007,"구리시",15519,182075
"487",201007,"구미시",34649,393430
"488",201007,"군산시",8619,255605
"489",201007,"군포시",8062,270830
"490",201007,"김제시",2510,81735
"491",201007,"김천시",4537,125191
"492",201007,"김포시",8596,214050
"493",201007,"김해시",20697,478109
"494",201007,"나주시",5888,76966
"495",201007,"남양주시",13661,520270
"496",201007,"남원시",6618,77436
"497",201007,"논산시",6157,115614
"498",201007,"대구광역시",288906,2395518
"499",201007,"대전광역시",140961,1469599
"500",201007,"동두천시",1420,89226
"501",201007,"동해시",4218,88006
"502",201007,"목포시",64769,245720
"503",201007,"문경시",5804,67749
"504",201007,"밀양시",3814,97286
"505",201007,"보령시",5431,95781
"506",201007,"부산광역시",373410,3346609
"507",201007,"사천시",3749,104709
"508",201007,"삼척시",5385,65812
"509",201007,"상주시",9503,96360
"510",201007,"서귀포시",1885,127974
"511",201007,"서산시",6109,152892
"512",201007,"서울특별시",1262970,9512332
"513",201007,"성남시",105295,924284
"514",201007,"속초시",5193,79372
"515",201007,"수원시",102608,1040388
"516",201007,"순천시",25783,254214
"517",201007,"시흥시",17765,388402
"518",201007,"아산시",8101,269897
"519",201007,"안동시",24013,163300
"520",201007,"안산시",58024,690047
"521",201007,"안성시",6156,174065
"522",201007,"안양시",50461,588878
"523",201007,"양산시",34276,246583
"524",201007,"양주시",1573,180668
"525",201007,"여수시",16123,265010
"526",201007,"영주시",3044,106837
"527",201007,"영천시",8022,92739
"528",201007,"오산시",7401,179281
"529",201007,"용인시",15134,839237
"530",201007,"울산광역시",96259,1055783
"531",201007,"원주시",45564,305068
"532",201007,"의왕시",875,141614
"533",201007,"의정부시",43326,409974
"534",201007,"이천시",5094,190167
"535",201007,"익산시",31337,290208
"536",201007,"인천광역시",210572,2595806
"537",201007,"전주시",96809,637613
"538",201007,"정읍시",4725,108003
"539",201007,"제주시",47276,393694
"540",201007,"제천시",1615,131977
"541",201007,"진주시",59932,330411
"542",201007,"창원시",141871,1028138
"543",201007,"천안시",74631,559514
